DATE,PRCP,SNOW,SNWD,TMAX,TMIN
2008-08-13,0.0,,0.0,22.3,5.8
2008-08-14,0.0,,0.0,21.6,6.0
2008-08-15,2.5,,0.0,18.7,2.5
2008-08-16,0.0,,0.0,16.4,0.2
2008-08-17,0.0,,0.0,19.1,1.3
2008-08-18,0.0,,0.0,21.9,3.7
2008-08-19,0.0,,0.0,22.4,6.0
2008-08-20,0.0,,0.0,21.4,5.4
2008-08-21,0.0,,0.0,22.7,5.2
2008-08-22,0.0,,0.0,22.4,6.4
2008-08-23,0.0,,0.0,24.0,6.3
2008-08-24,0.0,,0.0,22.7,6.2
2008-08-25,0.0,,0.0,21.6,5.6
2008-08-26,0.0,,0.0,21.4,5.8
2008-08-27,0.0,,0.0,20.6,4.0
2008-08-28,0.0,,0.0,20.7,3.1
2008-08-29,0.0,,0.0,22.2,1.8
2008-08-30,0.0,,0.0,22.7,4.2
2008-08-31,7.6,,0.0,15.3,6.0
2008-09-01,10.2,,0.0,9.6,-1.8
2008-09-02,0.0,,0.0,14.8,-3.3
2008-09-03,0.0,,0.0,14.9,-0.5
2008-09-04,0.0,,0.0,16.6,-0.5
2008-09-05,0.0,,0.0,15.4,1.5
2008-09-06,0.0,,0.0,16.5,1.0
2008-09-07,0.0,,0.0,18.2,0.8
2008-09-08,0.0,,0.0,20.6,2.2
2008-09-09,5.1,,0.0,15.9,3.6
2008-09-10,0.0,,0.0,15.3,3.6
2008-09-11,0.0,,0.0,13.1,-1.3
2008-09-12,0.0,,0.0,13.1,-1.8
2008-09-13,0.0,,0.0,16.6,-1.4
2008-09-14,0.0,,0.0,18.4,-1.0
2008-09-15,0.0,,0.0,19.5,0.4
2008-09-16,0.0,,0.0,19.0,1.2
2008-09-17,0.0,,0.0,16.2,2.3
2008-09-18,0.0,,0.0,17.6,1.3
2008-09-19,2.5,,0.0,17.4,1.8
2008-09-20,0.0,,0.0,16.9,3.4
2008-09-21,0.0,,0.0,16.6,3.1
2008-09-22,0.0,,0.0,11.9,-1.6
2008-09-23,0.0,,0.0,15.6,-3.0
