STATE_FIPS,ZONE,FIPS
8,31,8049
8,31,8057
8,32,8049
8,32,8117
8,33,8013
8,33,8049
8,33,8057
8,33,8069
8,34,8013
8,34,8019
8,34,8047
8,34,8049
8,34,8059
8,34,8093
8,34,8117
8,35,8013
8,35,8069
8,36,8019
8,36,8035
8,36,8047
8,36,8059
8,36,8093
8,37,8093
8,38,8069
8,38,8123
8,39,8013
8,39,8014
8,39,8059
8,40,8001
8,40,8005
8,40,8014
8,40,8031
8,40,8035
8,41,8005
8,41,8035
8,41,8039
8,42,8123
8,43,8123
8,44,8087
8,45,8001
8,45,8005
8,46,8039
8,46,8073
8,47,8039
8,47,8073
8,48,8075
8,49,8121
8,50,8115
8,51,8095
8,58,8065
8,59,8065
8,60,8015
8,60,8065
8,60,8109
8,61,8015
8,62,8015
8,63,8015
8,64,8109
8,65,8105
8,65,8109
8,66,8079
8,66,8105
8,66,8109
8,67,8021
8,67,8079
8,67,8105
8,68,8021
8,68,8079
8,68,8105
8,69,8105
8,69,8109
8,70,8003
8,70,8105
8,71,8021
8,71,8023
8,72,8003
8,72,8015
8,72,8023
8,72,8027
8,72,8043
8,72,8055
8,72,8109
8,73,8003
8,73,8023
8,73,8027
8,73,8043
8,73,8055
8,73,8109
8,74,8023
8,74,8055
8,74,8071
8,75,8023
8,75,8055
8,75,8071
8,76,8043
8,77,8043
8,78,8027
8,78,8055
8,79,8027
8,79,8043
8,79,8055
8,79,8101
8,80,8027
8,80,8055
8,80,8101
8,81,8041
8,81,8043
8,81,8119
8,82,8041
8,82,8119
8,83,8027
8,83,8043
8,83,8119
8,84,8041
8,85,8041
8,86,8101
8,87,8055
8,88,8071
8,89,8025
8,90,8125
8,91,8063
8,92,8017
8,93,8089
8,94,8071
8,95,8061
8,96,8061
8,97,8011
8,98,8099
8,99,8009
9,1,9005
9,2,9003
9,3,9013
9,4,9015
9,5,9001
9,6,9009
9,7,9007
9,8,9011
9,9,9001
9,10,9009
9,11,9007
9,12,9011
9,13,9005
11,1,11001
10,1,10003
10,2,10001
10,3,10005
10,4,10005
12,7,12131
12,8,12131
12,9,12059
12,10,12133
12,11,12063
12,11,12063
12,12,12005
12,13,12013
12,14,12045
12,14,12045
12,15,12037
12,16,12039
12,17,12073
12,18,12065
12,19,12079
12,20,12047
12,21,12121
12,23,12003
12,24,12089
12,25,12031
12,26,12077
12,27,12129
12,28,12123
12,29,12067
12,30,12125
12,31,12007
12,32,12019
12,33,12109
12,34,12029
12,35,12041
12,37,12107
12,38,12035
12,41,12127
12,43,12119
12,44,12069
12,45,12095
12,46,12117
12,47,12009
12,50,12103
12,52,12105
12,53,12097
12,54,12061
12,56,12049
12,57,12055
12,58,12093
12,59,12111
12,61,12027
12,63,12043
12,64,12085
12,66,12051
12,67,12099
12,68,12099
12,69,12021
12,70,12021
12,71,12011
12,72,12011
12,73,12086
12,74,12086
12,75,12087
12,76,12087
12,77,12087
12,78,12087
12,108,12131
12,108,12131
12,112,12005
12,114,12045
12,115,12037
12,118,12065
12,122,12023
12,124,12089
12,125,12031
12,127,12129
12,128,12123
12,133,12109
12,134,12029
12,136,12001
12,138,12035
12,139,12075
12,140,12083
12,141,12127
12,142,12017
12,144,12069
12,147,12009
12,148,12053
12,149,12101
12,151,12057
12,155,12081
12,160,12115
12,162,12015
12,165,12071
12,168,12099
12,172,12011
12,173,12086
12,174,12086
12,201,12033
12,202,12033
12,203,12113
12,204,12113
12,205,12091
12,206,12091
12,222,12023
12,236,12001
12,239,12075
12,240,12083
12,242,12017
12,248,12053
12,249,12101
12,251,12057
12,255,12081
12,260,12115
12,262,12015
12,265,12071
12,340,12083
13,1,13083
13,2,13295
13,3,13047
13,4,13313
13,5,13213
13,6,13111
13,7,13123
13,8,13291
13,9,13281
13,10,13241
13,11,13055
13,12,13129
13,13,13227
13,14,13085
13,15,13187
13,16,13311
13,17,13137
13,18,13257
13,19,13115
13,20,13015
13,21,13057
13,22,13117
13,23,13139
13,24,13011
13,25,13157
13,26,13119
13,27,13195
13,28,13147
13,29,13105
13,30,13233
13,31,13223
13,32,13067
13,33,13121
13,34,13135
13,35,13013
13,36,13059
13,37,13219
13,38,13221
13,39,13317
13,40,13181
13,41,13143
13,42,13045
13,43,13097
13,44,13121
13,45,13089
13,46,13247
13,47,13297
13,47,13297
13,48,13217
13,49,13211
13,50,13133
13,51,13265
13,52,13149
13,53,13077
13,54,13113
13,55,13063
13,56,13255
13,57,13151
13,58,13035
13,59,13159
13,60,13237
13,61,13141
13,62,13301
13,63,13189
13,64,13073
13,65,13245
13,66,13285
13,67,13199
13,68,13231
13,69,13293
13,70,13171
13,71,13207
13,72,13169
13,73,13009
13,74,13303
13,75,13125
13,76,13163
13,77,13033
13,78,13145
13,79,13263
13,80,13269
13,81,13079
13,82,13021
13,83,13289
13,84,13319
13,85,13167
13,86,13107
13,87,13165
13,88,13251
13,89,13215
13,90,13053
13,91,13197
13,92,13249
13,93,13193
13,94,13225
13,95,13153
13,96,13023
13,97,13175
13,98,13283
13,99,13043
13,100,13031
13,101,13103
13,102,13259
13,103,13307
13,104,13261
13,105,13093
13,106,13081
13,107,13235
13,108,13315
13,109,13091
13,110,13271
13,111,13309
13,112,13209
13,113,13279
13,114,13267
13,115,13109
13,116,13029
13,117,13029
13,118,13051
13,119,13051
13,119,13051
13,120,13239
13,121,13061
13,122,13243
13,123,13037
13,124,13273
13,125,13095
13,126,13177
13,127,13321
13,128,13287
13,129,13277
13,130,13017
13,131,13155
13,132,13069
